iso_code,continent,location,date,population,total_cases,new_cases,total_deaths,new_deaths,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations,new_vaccinations,is_country,new_cases_7day_avg,new_deaths_7day_avg,new_vaccinations_7day_avg,cases_14day_total,deaths_14day_total,case_growth_rate,death_growth_rate,vaccination_growth_rate,cases_per_million,deaths_per_million,vaccinations_per_hundred,vaccinated_share,fully_vaccinated_share,booster_share,death_rate,estimated_active_cases,estimated_recoveries,recovery_rate_proxy
CYP,Europe,Cyprus,2024-08-04,896007.0,696410.0,0.0,1451.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777237.2314055582,1619.4069912400237,0.0,0.0,0.0,0.0,0.20835427406269294,0.0,694959.0,99.7916457259373
CZE,Europe,Czechia,2024-08-12,10493990.0,4761919.0,571.0,43509.0,1.0,6982006.0,6895763.0,5581388.0,19047108.0,4.0,True,571.0,1.0,4.0,571.0,1.0,0.0,0.0,0.0,453775.82787862385,4146.087427184512,181.50491852955835,66.53337767617464,65.71154537025478,53.18651914095592,0.9136862680780584,571.0,4717839.0,99.07432276777493
COD,Africa,Democratic Republic of Congo,2024-08-04,99010216.0,101009.0,0.0,1474.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.1876541709595,14.887352634398859,0.0,0.0,0.0,0.0,1.4592759061073766,0.0,99535.0,98.54072409389263
DNK,Europe,Denmark,2024-08-04,5882259.0,3435679.0,0.0,9693.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584074.7576738801,1647.8363159459657,0.0,0.0,0.0,0.0,0.2821276376518295,0.0,3425986.0,99.71787236234817
DJI,Africa,Djibouti,2024-08-04,1120851.0,15690.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13998.292368923256,168.6218774841616,0.0,0.0,0.0,0.0,1.2045889101338432,0.0,15501.0,98.79541108986616
DMA,North America,Dominica,2024-08-04,72758.0,16047.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220553.0663294758,1017.070287803403,0.0,0.0,0.0,0.0,0.4611453854302985,0.0,15973.0,99.5388546145697
DOM,North America,Dominican Republic,2024-08-04,11228821.0,661103.0,0.0,4384.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58875.5489111457,390.42389223231896,0.0,0.0,0.0,0.0,0.6631341863522022,0.0,656719.0,99.3368658136478
TLS,Asia,East Timor,2024-08-04,1341298.0,23460.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17490.520376530792,102.8854139795929,0.0,0.0,0.0,0.0,0.5882352941176471,0.0,23322.0,99.41176470588235
ECU,South America,Ecuador,2024-08-04,18001002.0,1077445.0,157.0,36050.0,0.0,0.0,0.0,0.0,0.0,0.0,True,157.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,59854.72364260612,2002.6662960206327,0.0,0.0,0.0,0.0,3.3458784439112903,157.0,1041238.0,96.6395500466381
EGY,Africa,Egypt,2024-08-04,110990096.0,516023.0,0.0,24830.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4649.2706880801325,223.71365459491088,0.0,0.0,0.0,0.0,4.8118010243729445,0.0,491193.0,95.18819897562706
